casualty_id,vehicle_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
10102,2,1,1,5,3,0,0,0,0,0,1,1,1
10103,2,1,1,8,3,0,0,0,0,0,1,1,4
10104,1,1,1,10,3,0,0,0,0,0,9,1,6
10105,1,3,1,4,2,1,3,0,0,0,0,1,2
10106,1,1,1,9,3,0,0,0,0,0,9,1,1
10107,1,2,2,1,3,0,0,2,0,0,9,1,2
10108,2,1,1,8,3,0,0,0,0,0,5,1,1
10109,1,3,2,11,3,5,1,0,0,0,0,1,7
10110,1,3,2,6,3,5,3,0,0,0,0,9,11
10111,1,3,2,6,3,9,5,0,0,0,0,1,2
10112,2,1,1,9,3,0,0,0,0,0,1,1,9
10113,1,3,1,3,3,1,3,0,0,0,0,1,1
10114,1,1,2,11,3,0,0,0,0,0,9,1,8
10115,1,3,2,3,3,3,1,0,0,0,0,1,2
10116,2,1,1,6,2,0,0,0,0,0,90,1,1
10117,2,1,2,3,3,0,0,0,0,0,1,1,1
10118,1,2,2,7,3,0,0,1,0,0,9,1,3
10119,1,2,1,4,3,0,0,2,0,0,9,1,2
10120,1,2,1,4,3,0,0,2,0,0,9,1,2
10121,2,1,1,6,2,0,0,0,0,0,5,1,3
10122,1,1,1,5,3,0,0,0,0,0,3,1,6
10123,2,1,1,11,3,0,0,0,0,0,9,1,8
10124,1,3,2,7,3,1,1,0,0,0,0,1,5
10125,2,1,1,6,3,0,0,0,0,0,1,1,3
10126,1,1,1,6,3,0,0,0,0,0,9,1,5
10127,1,1,2,9,3,0,0,0,0,0,9,1,1
10128,1,1,1,5,3,0,0,0,0,0,9,2,6
10129,1,3,1,10,2,8,2,0,0,0,0,1,8
10130,1,1,1,5,3,0,0,0,0,0,9,1,2
10131,1,1,2,7,3,0,0,0,0,0,9,1,4
10132,2,2,1,2,3,0,0,2,0,0,9,1,3
10133,1,2,2,1,3,0,0,0,4,0,11,1,2
10134,1,1,1,10,3,0,0,0,0,0,9,1,2
10135,2,1,1,4,2,0,0,0,0,0,3,1,3
10136,1,1,1,7,3,0,0,0,0,0,3,1,4
10137,1,1,1,6,3,0,0,0,0,0,3,1,6
10138,1,1,1,8,3,0,0,0,0,0,8,1,2
10139,2,1,1,6,3,0,0,0,0,0,4,1,4
10140,1,1,1,8,3,0,0,0,0,0,9,1,5
10141,1,1,2,7,3,0,0,0,0,0,9,1,2
10142,2,1,1,7,3,0,0,0,0,0,9,9,11
10143,1,1,1,6,3,0,0,0,0,0,1,1,3
10144,2,1,1,5,2,0,0,0,0,0,23,1,3
10145,1,1,2,7,3,0,0,0,0,0,9,1,9
10146,1,3,2,4,3,5,4,0,0,0,0,1,8
10147,1,1,1,6,2,0,0,0,0,0,1,1,9
10148,1,3,2,3,3,5,1,0,0,0,0,1,9
10149,2,1,1,7,3,0,0,0,0,0,3,1,5
10150,1,1,2,8,3,0,0,0,0,0,9,1,6
10151,1,1,1,8,3,0,0,0,0,0,9,1,7
10152,1,3,2,5,2,5,1,0,0,0,0,1,1
10153,1,3,1,10,2,5,1,0,0,0,0,1,3
10154,1,1,1,6,2,0,0,0,0,0,3,1,2
10155,2,1,2,6,3,0,0,0,0,0,90,1,1
10156,2,1,1,9,3,0,0,0,0,0,4,1,6
10157,1,1,1,9,3,0,0,0,0,0,9,1,1
10158,1,1,1,7,3,0,0,0,0,0,9,1,2
10159,1,2,9,7,3,0,0,1,0,0,9,1,1
10160,1,3,1,5,3,8,6,0,0,0,0,1,4
10161,1,1,1,10,3,0,0,0,0,0,9,1,2
